NAME,OBJECTID,n1,n2,n3,n4,n5,n6
2827,244,0.212345679,0.164197531,0.118518519,0.138271605,0.218518519,0.148148148
2828,245,0.255067568,0.1875,0.121621622,0.131756757,0.194256757,0.109797297
2829,246,0.207575758,0.177272727,0.154545455,0.118181818,0.184848485,0.157575758
2830,247,0.186046512,0.23255814,0.162790698,0.162790698,0.139534884,0.11627907
2831,401,0.267950963,0.164623468,0.122591944,0.11033275,0.229422067,0.105078809
2832,248,0.21945433,0.147093713,0.168446026,0.126927639,0.209964413,0.128113879
2833,249,0.179941003,0.138643068,0.191740413,0.1179941,0.235988201,0.135693215
2834,250,0.217391304,0.168478261,0.125,0.14673913,0.260869565,0.081521739
2835,251,0.376404494,0.179775281,0.106741573,0.101123596,0.112359551,0.123595506
2836,252,0.272727273,0,0,0.454545455,0.272727273,0
2837,253,0.415048544,0.09223301,0.109223301,0.104368932,0.148058252,0.131067961
2838,254,0.325892857,0.183035714,0.169642857,0.125,0.129464286,0.066964286
2839,255,0.328227571,0.199124726,0.126914661,0.124726477,0.142231947,0.078774617
2840,292,0.255144033,0.193415638,0.189300412,0.164609053,0.119341564,0.0781893
2841,256,0.251336898,0.235294118,0.13368984,0.139037433,0.122994652,0.117647059
2842,258,0.293577982,0.23853211,0.119266055,0.110091743,0.201834862,0.036697248
2843,257,0.339622642,0.162264151,0.105660377,0.086792453,0.177358491,0.128301887
2844,259,0.255088195,0.188602442,0.130257802,0.107191316,0.199457259,0.119402985
2845,260,0.307692308,0.219230769,0.146153846,0.073076923,0.155769231,0.098076923
2846,261,0.299099099,0.153153153,0.122522523,0.10990991,0.196396396,0.118918919
2847,262,0.20746888,0.124481328,0.178423237,0.132780083,0.2406639,0.116182573
2848,263,0.1,0.271428571,0.157142857,0.085714286,0.185714286,0.2
2849,264,0.263368984,0.181818182,0.135026738,0.125668449,0.17513369,0.118983957
2850,265,0.233243968,0.174262735,0.136729223,0.109919571,0.222520107,0.123324397
